tconst,ordering,nconst,category,job,characters
tt0035423,1,nm0000212,actress,\N,"[""Kate McKay""]"
tt0035423,2,nm0413168,actor,\N,"[""Leopold""]"
tt0035423,3,nm0000630,actor,\N,"[""Stuart Besser""]"
tt0035423,4,nm0005227,actor,\N,"[""Charlie McKay""]"
tt0035423,5,nm0005169,actress,\N,"[""Darci""]"
tt0035423,6,nm0925966,actor,\N,"[""J.J. Camden""]"
tt0035423,7,nm0925717,actor,\N,"[""Uncle Millard""]"
tt0035423,8,nm0336960,actor,\N,"[""Dr. Geisler""]"
tt0035423,9,nm0821817,actor,\N,"[""Colleague Bob""]"
tt0035423,10,nm0697069,actor,\N,"[""Ad Executive Phil""]"
tt0035423,11,nm0003506,director,\N,\N
tt0035423,12,nm0737216,writer,story,\N
tt0035423,13,nm0003506,writer,screenplay,\N
tt0035423,14,nm0465298,producer,producer,\N
tt0035423,15,nm0448843,composer,\N,\N
tt0035423,16,nm0238698,cinematographer,\N,\N
tt0035423,17,nm0107463,editor,\N,\N
tt0035423,18,nm0054234,casting_director,\N,\N
tt0035423,19,nm0394119,casting_director,\N,\N
tt0035423,20,nm16887975,casting_director,\N,\N
tt0035423,21,nm0295004,production_designer,\N,\N
tt0113026,1,nm0001297,actor,\N,"[""Bellomy""]"
tt0113026,2,nm0400464,actor,\N,"[""Henry""]"
tt0113026,3,nm0446465,actress,\N,"[""Luisa""]"
tt0113026,4,nm0570771,actor,\N,"[""Matt""]"
tt0113026,5,nm0606683,actor,\N,"[""El Gallo""]"
tt0113026,6,nm0837976,actor,\N,"[""Hucklebee""]"
tt0113026,7,nm0854418,actor,\N,"[""Mortimer""]"
tt0113026,8,nm0317727,actor,\N,"[""The Bavarian Baby""]"
tt0113026,9,nm0185272,actor,\N,"[""His Assistant""]"
tt0113026,10,nm16020053,actress,\N,"[""Jo Jo, The Chicken Lady""]"
tt0113026,11,nm0006916,director,\N,\N
tt0113026,12,nm0429368,writer,play,\N
tt0113026,13,nm0772974,writer,play,\N
tt0113026,14,nm0705709,producer,producer,\N
tt0113026,15,nm0006916,producer,producer,\N
tt0113026,16,nm0772974,composer,\N,\N
tt0113026,17,nm0002320,cinematographer,\N,\N
tt0113026,18,nm0770129,editor,\N,\N
tt0113026,19,nm0656065,casting_director,casting_director,\N
tt0113026,20,nm0772901,production_designer,\N,\N
tt0118589,1,nm0001014,actress,\N,"[""Billie Frank""]"
tt0118589,2,nm0073160,actor,\N,"[""Rafael""]"
