,tconst,averageRating,numVotes
18899,tt0035423,6.4,93476
85855,tt0113026,5.7,1488
90368,tt0118589,2.5,24468
90451,tt0118694,8.0,186162
91983,tt0120467,5.2,4414
92112,tt0120630,7.1,223901
92136,tt0120662,5.0,16598
92139,tt0120667,5.7,371874
92147,tt0120679,7.3,101121
92149,tt0120681,6.7,171248
92161,tt0120695,4.8,13436
92189,tt0120737,8.9,2186053
92202,tt0120753,5.7,23187
92204,tt0120755,6.1,411408
92245,tt0120804,6.6,307534
92255,tt0120824,6.7,34689
92312,tt0120903,7.3,687968
92315,tt0120910,7.1,43750
92316,tt0120912,6.2,428810
92317,tt0120913,6.6,66402
92319,tt0120917,7.4,246395
92467,tt0121164,7.4,326107
92794,tt0121765,6.6,813821
92795,tt0121766,7.7,913523
93226,tt0122459,7.0,24958
94888,tt0125022,6.3,61809
95540,tt0126029,7.9,803257
96318,tt0127349,6.4,7954
97849,tt0130623,6.4,72319
98366,tt0131704,4.3,21874
98581,tt0132245,4.6,44991
98987,tt0133152,5.7,241082
99051,tt0133240,7.2,146684
99418,tt0134084,5.7,181205
99426,tt0134108,5.8,65
99810,tt0134847,7.0,262789
99895,tt0134983,4.9,20762
101688,tt0138524,6.3,105435
101847,tt0138749,6.9,118156
101966,tt0138946,6.4,24487
102322,tt0139654,7.8,512444
103245,tt0141399,5.4,2654
103489,tt0141907,4.5,5472
103495,tt0141926,6.6,91533
104692,tt0144084,7.6,825761
104926,tt0144528,4.5,55418
105181,tt0144964,4.6,22126
105407,tt0145487,7.4,957784
105635,tt0145937,6.4,6522
105778,tt0146309,7.3,66373
105782,tt0146316,5.8,229603
106012,tt0146882,7.4,198394
106051,tt0146984,6.7,61976
107475,tt0149624,5.8,16304
108649,tt0151150,6.1,11734
111627,tt0156323,5.7,9969
111870,tt0156812,7.0,22029
111884,tt0156841,4.7,12074
112109,tt0157262,3.5,13915
112196,tt0157472,5.2,15701
112680,tt0158583,6.4,2942
112694,tt0158607,3.7,96
112704,tt0158622,3.8,26820
112905,tt0159097,7.2,184881
113001,tt0159273,6.4,118713
113049,tt0159365,7.2,163526
113440,tt0160009,5.7,32210
113504,tt0160127,5.6,206512
113542,tt0160184,5.3,30910
113646,tt0160399,6.2,25331
113700,tt0160484,4.8,11766
113707,tt0160498,5.3,655
113783,tt0160644,5.5,3786
113863,tt0160797,6.4,52505
114025,tt0161081,6.6,144691
114026,tt0161083,5.5,18004
114595,tt0162222,7.8,684256
114639,tt0162346,7.3,131729
114739,tt0162650,6.0,84918
114920,tt0162983,4.9,13753
114948,tt0163025,6.0,367357
115285,tt0163676,4.7,5043
115444,tt0163978,6.6,267281
115447,tt0163983,5.1,15936
115461,tt0164003,5.9,6149
115490,tt0164052,5.9,145635
115566,tt0164184,6.5,133541
115585,tt0164212,6.4,30195
115655,tt0164334,6.4,103262
116504,tt0165929,6.1,76854
116533,tt0165982,6.8,63782
116625,tt0166110,4.5,8778
116656,tt0166158,5.6,2692
116729,tt0166276,4.8,20181
117047,tt0166813,7.2,93829
117112,tt0166924,7.9,424088
117265,tt0167190,6.9,368812
117273,tt0167203,5.6,5104
117310,tt0167260,9.0,2145389
117311,tt0167261,8.8,1938750
117423,tt0167456,4.3,15065
118110,tt0168612,5.2,169
118116,tt0168629,7.9,123233
118197,tt0168786,7.3,40524
118224,tt0168856,6.1,8027
118321,tt0169102,8.1,128708
118766,tt0170016,6.4,331480
119090,tt0170691,6.9,45241
119414,tt0171356,5.6,8281
119416,tt0171359,5.9,10353
119453,tt0171433,6.4,54286
119523,tt0171580,6.3,37061
119685,tt0171928,6.6,1308
119785,tt0172109,1.8,920
119801,tt0172156,6.6,286741
119922,tt0172495,8.5,1830968
120439,tt0173716,6.3,17860
120516,tt0173840,6.4,85743
120876,tt0174480,5.6,30324
121203,tt0175142,6.3,318933
122053,tt0176783,5.9,18345
122467,tt0177650,5.2,2247
122634,tt0177971,6.5,187485
123340,tt0179098,6.6,15178
123355,tt0179116,6.9,50555
123628,tt0179626,6.1,53409
123907,tt0180052,3.9,28226
123920,tt0180073,7.2,58907
123933,tt0180093,8.3,966473
124330,tt0180734,6.4,35815
124607,tt0181151,5.7,10094
124842,tt0181536,7.3,92899
