,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
34793,tt0035423,movie,Kate & Leopold,Kate & Leopold,0,2001,\N,118,"Comedy,Fantasy,Romance"
110445,tt0113026,movie,The Fantasticks,The Fantasticks,0,2000,\N,86,"Musical,Romance"
115792,tt0118589,movie,Glitter,Glitter,0,2001,\N,104,"Drama,Music,Romance"
115892,tt0118694,movie,In the Mood for Love,Fa yeung nin wah,0,2000,\N,98,"Drama,Romance"
117579,tt0120467,movie,Vulgar,Vulgar,0,2000,\N,87,"Crime,Drama,Thriller"
117721,tt0120630,movie,Chicken Run,Chicken Run,0,2000,\N,84,"Adventure,Animation,Comedy"
117745,tt0120662,movie,Eye of the Beholder,Eye of the Beholder,0,1999,\N,109,"Drama,Mystery,Thriller"
117748,tt0120667,movie,Fantastic Four,Fantastic Four,0,2005,\N,106,"Action,Adventure,Fantasy"
117758,tt0120679,movie,Frida,Frida,0,2002,\N,123,"Biography,Drama,Romance"
117760,tt0120681,movie,From Hell,From Hell,0,2001,\N,122,"Crime,Horror,Mystery"
117772,tt0120695,video,From Dusk Till Dawn 3: The Hangman's Daughter,From Dusk Till Dawn 3: The Hangman's Daughter,0,1999,\N,94,"Horror,Thriller,Western"
117803,tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,0,2001,\N,178,"Adventure,Drama,Fantasy"
117818,tt0120753,movie,The Million Dollar Hotel,The Million Dollar Hotel,0,2000,\N,122,"Drama,Mystery,Romance"
117820,tt0120755,movie,Mission: Impossible II,Mission: Impossible II,0,2000,\N,123,"Action,Adventure,Thriller"
117861,tt0120804,movie,Resident Evil,Resident Evil,0,2002,\N,100,"Action,Horror,Sci-Fi"
117873,tt0120824,movie,The Shipping News,The Shipping News,0,2001,\N,111,Drama
117933,tt0120903,movie,X-Men,X-Men,0,2000,\N,104,"Action,Adventure,Sci-Fi"
117936,tt0120910,movie,Fantasia 2000,Fantasia 2000,0,1999,\N,75,"Animation,Family,Fantasy"
117937,tt0120912,movie,Men in Black II,Men in Black II,0,2002,\N,88,"Action,Adventure,Comedy"
117938,tt0120913,movie,Titan A.E.,Titan A.E.,0,2000,\N,94,"Action,Adventure,Animation"
117940,tt0120917,movie,The Emperor's New Groove,The Emperor's New Groove,0,2000,\N,78,"Adventure,Animation,Comedy"
118143,tt0121164,movie,Corpse Bride,Corpse Bride,0,2005,\N,77,"Animation,Comedy,Drama"
118660,tt0121765,movie,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,0,2002,\N,142,"Action,Adventure,Fantasy"
118661,tt0121766,movie,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,0,2005,\N,140,"Action,Adventure,Fantasy"
119296,tt0122459,movie,Return to Me,Return to Me,0,2000,\N,115,"Comedy,Drama,Romance"
121697,tt0125022,movie,Heartbreakers,Heartbreakers,0,2001,\N,123,"Comedy,Crime,Romance"
122662,tt0126029,movie,Shrek,Shrek,0,2001,\N,90,"Adventure,Animation,Comedy"
123893,tt0127349,movie,Waking the Dead,Waking the Dead,0,2000,\N,105,"Drama,Mystery,Romance"
127006,tt0130623,movie,Dinosaur,Dinosaur,0,2000,\N,82,"Adventure,Animation,Drama"
128034,tt0131704,movie,The Adventures of Rocky & Bullwinkle,The Adventures of Rocky and Bullwinkle,0,2000,\N,92,"Adventure,Comedy,Family"
128554,tt0132245,movie,Driven,Driven,0,2001,\N,116,"Action,Drama,Sport"
129408,tt0133152,movie,Planet of the Apes,Planet of the Apes,0,2001,\N,120,"Action,Adventure,Sci-Fi"
129496,tt0133240,movie,Treasure Planet,Treasure Planet,0,2002,\N,95,"Action,Adventure,Animation"
130298,tt0134084,movie,Scream 3,Scream 3,0,2000,\N,116,"Horror,Mystery"
130322,tt0134108,movie,Solstice,Solstice,0,1993,\N,48,Drama
131010,tt0134847,movie,Pitch Black,Pitch Black,0,2000,\N,109,"Horror,Sci-Fi,Thriller"
131132,tt0134983,movie,Supernova,Supernova,0,2000,\N,90,"Horror,Sci-Fi,Thriller"
133529,tt0137510,movie,Fallingwater: The Apprentices,Fallingwater: The Apprentices,0,1996,\N,57,Documentary
133544,tt0137526,video,Flesh and Boner,Flesh and Boner,1,1994,\N,\N,Adult
134483,tt0138524,movie,Intolerable Cruelty,Intolerable Cruelty,0,2003,\N,100,"Comedy,Crime,Romance"
134687,tt0138749,movie,The Road to El Dorado,The Road to El Dorado,0,2000,\N,89,"Adventure,Animation,Comedy"
134851,tt0138946,movie,The Yards,The Yards,0,2000,\N,115,"Crime,Drama,Romance"
135510,tt0139654,movie,Training Day,Training Day,0,2001,\N,122,"Crime,Drama,Thriller"
137169,tt0141399,movie,Isn't She Great,Isn't She Great,0,2000,\N,95,"Biography,Comedy,Drama"
137666,tt0141907,movie,Town & Country,Town & Country,0,2001,\N,104,"Comedy,Romance"
137685,tt0141926,movie,U-571,U-571,0,2000,\N,116,"Action,War"
139729,tt0144084,movie,American Psycho,American Psycho,0,2000,\N,102,"Crime,Drama,Horror"
140150,tt0144528,movie,Nutty Professor II: The Klumps,Nutty Professor II: The Klumps,0,2000,\N,106,"Comedy,Romance,Sci-Fi"
140568,tt0144964,movie,Highlander: Endgame,Highlander: Endgame,0,2000,\N,87,"Action,Adventure,Fantasy"
141064,tt0145487,movie,Spider-Man,Spider-Man,0,2002,\N,121,"Action,Adventure,Sci-Fi"
141488,tt0145937,movie,Naqoyqatsi,Naqoyqatsi,0,2002,\N,89,"Documentary,Music"
141843,tt0146309,movie,Thirteen Days,Thirteen Days,0,2000,\N,145,"Drama,History,Thriller"
141849,tt0146316,movie,Lara Croft: Tomb Raider,Lara Croft: Tomb Raider,0,2001,\N,100,"Action,Adventure,Fantasy"
